queryId,queryImagePath,querySource,expectedProductIds,relevantProductIds,expectedCategoryId,expectedColor,difficulty,note
df_query_0001,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,deepfashion_inshop,id_00000001,,WOMEN/Blouses_Shirts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg
df_query_0002,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,deepfashion_inshop,id_00000007,,WOMEN/Tees_Tanks,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg
df_query_0003,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000008/02_7_additional.jpg,deepfashion_inshop,id_00000008,,WOMEN/Dresses,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Dresses/id_00000008/02_7_additional.jpg
df_query_0004,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_2_side.jpg,deepfashion_inshop,id_00000016,,MEN/Sweaters,,medium,DeepFashion In-shop item match. Original: img/MEN/Sweaters/id_00000016/01_2_side.jpg
df_query_0005,docs_vs/deepfashion-subset/images/WOMEN/Graphic_Tees/id_00000019/01_2_side.jpg,deepfashion_inshop,id_00000019,,WOMEN/Graphic_Tees,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Graphic_Tees/id_00000019/01_2_side.jpg
df_query_0006,docs_vs/deepfashion-subset/images/WOMEN/Pants/id_00000029/04_3_back.jpg,deepfashion_inshop,id_00000029,,WOMEN/Pants,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Pants/id_00000029/04_3_back.jpg
df_query_0007,docs_vs/deepfashion-subset/images/WOMEN/Cardigans/id_00000036/02_3_back.jpg,deepfashion_inshop,id_00000036,,WOMEN/Cardigans,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Cardigans/id_00000036/02_3_back.jpg
df_query_0008,docs_vs/deepfashion-subset/images/MEN/Tees_Tanks/id_00000045/01_2_side.jpg,deepfashion_inshop,id_00000045,,MEN/Tees_Tanks,,medium,DeepFashion In-shop item match. Original: img/MEN/Tees_Tanks/id_00000045/01_2_side.jpg
df_query_0009,docs_vs/deepfashion-subset/images/WOMEN/Rompers_Jumpsuits/id_00000050/02_2_side.jpg,deepfashion_inshop,id_00000050,,WOMEN/Rompers_Jumpsuits,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Rompers_Jumpsuits/id_00000050/02_2_side.jpg
df_query_0010,docs_vs/deepfashion-subset/images/WOMEN/Jackets_Coats/id_00000054/01_2_side.jpg,deepfashion_inshop,id_00000054,,WOMEN/Jackets_Coats,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Jackets_Coats/id_00000054/01_2_side.jpg
df_query_0011,docs_vs/deepfashion-subset/images/WOMEN/Denim/id_00000055/04_1_front.jpg,deepfashion_inshop,id_00000055,,WOMEN/Denim,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Denim/id_00000055/04_1_front.jpg
df_query_0012,docs_vs/deepfashion-subset/images/MEN/Pants/id_00000063/02_4_full.jpg,deepfashion_inshop,id_00000063,,MEN/Pants,,medium,DeepFashion In-shop item match. Original: img/MEN/Pants/id_00000063/02_4_full.jpg
df_query_0013,docs_vs/deepfashion-subset/images/MEN/Jackets_Vests/id_00000084/04_2_side.jpg,deepfashion_inshop,id_00000084,,MEN/Jackets_Vests,,medium,DeepFashion In-shop item match. Original: img/MEN/Jackets_Vests/id_00000084/04_2_side.jpg
df_query_0014,docs_vs/deepfashion-subset/images/MEN/Suiting/id_00000094/02_1_front.jpg,deepfashion_inshop,id_00000094,,MEN/Suiting,,medium,DeepFashion In-shop item match. Original: img/MEN/Suiting/id_00000094/02_1_front.jpg
df_query_0015,docs_vs/deepfashion-subset/images/WOMEN/Sweaters/id_00000098/02_1_front.jpg,deepfashion_inshop,id_00000098,,WOMEN/Sweaters,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Sweaters/id_00000098/02_1_front.jpg
df_query_0016,docs_vs/deepfashion-subset/images/WOMEN/Shorts/id_00000103/01_1_front.jpg,deepfashion_inshop,id_00000103,,WOMEN/Shorts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Shorts/id_00000103/01_1_front.jpg
df_query_0017,docs_vs/deepfashion-subset/images/WOMEN/Sweatshirts_Hoodies/id_00000139/02_1_front.jpg,deepfashion_inshop,id_00000139,,WOMEN/Sweatshirts_Hoodies,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Sweatshirts_Hoodies/id_00000139/02_1_front.jpg
df_query_0018,docs_vs/deepfashion-subset/images/MEN/Sweatshirts_Hoodies/id_00000146/02_2_side.jpg,deepfashion_inshop,id_00000146,,MEN/Sweatshirts_Hoodies,,medium,DeepFashion In-shop item match. Original: img/MEN/Sweatshirts_Hoodies/id_00000146/02_2_side.jpg
df_query_0019,docs_vs/deepfashion-subset/images/WOMEN/Leggings/id_00000147/01_3_back.jpg,deepfashion_inshop,id_00000147,,WOMEN/Leggings,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Leggings/id_00000147/01_3_back.jpg
df_query_0020,docs_vs/deepfashion-subset/images/MEN/Shirts_Polos/id_00000167/01_2_side.jpg,deepfashion_inshop,id_00000167,,MEN/Shirts_Polos,,medium,DeepFashion In-shop item match. Original: img/MEN/Shirts_Polos/id_00000167/01_2_side.jpg
df_query_0021,docs_vs/deepfashion-subset/images/MEN/Denim/id_00000182/01_1_front.jpg,deepfashion_inshop,id_00000182,,MEN/Denim,,medium,DeepFashion In-shop item match. Original: img/MEN/Denim/id_00000182/01_1_front.jpg
df_query_0022,docs_vs/deepfashion-subset/images/WOMEN/Skirts/id_00000439/02_1_front.jpg,deepfashion_inshop,id_00000439,,WOMEN/Skirts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Skirts/id_00000439/02_1_front.jpg
df_query_0023,docs_vs/deepfashion-subset/images/MEN/Shorts/id_00000524/01_3_back.jpg,deepfashion_inshop,id_00000524,,MEN/Shorts,,medium,DeepFashion In-shop item match. Original: img/MEN/Shorts/id_00000524/01_3_back.jpg
df_query_0024,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg,deepfashion_inshop,id_00000001,,WOMEN/Blouses_Shirts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg
df_query_0025,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_4_full.jpg,deepfashion_inshop,id_00000007,,WOMEN/Tees_Tanks,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Tees_Tanks/id_00000007/01_4_full.jpg
df_query_0026,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000011/02_2_side.jpg,deepfashion_inshop,id_00000011,,WOMEN/Dresses,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Dresses/id_00000011/02_2_side.jpg
df_query_0027,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_6_flat.jpg,deepfashion_inshop,id_00000016,,MEN/Sweaters,,medium,DeepFashion In-shop item match. Original: img/MEN/Sweaters/id_00000016/01_6_flat.jpg
df_query_0028,docs_vs/deepfashion-subset/images/WOMEN/Graphic_Tees/id_00000019/01_7_additional.jpg,deepfashion_inshop,id_00000019,,WOMEN/Graphic_Tees,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Graphic_Tees/id_00000019/01_7_additional.jpg
df_query_0029,docs_vs/deepfashion-subset/images/WOMEN/Pants/id_00000029/06_1_front.jpg,deepfashion_inshop,id_00000029,,WOMEN/Pants,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Pants/id_00000029/06_1_front.jpg
df_query_0030,docs_vs/deepfashion-subset/images/WOMEN/Cardigans/id_00000036/02_7_additional.jpg,deepfashion_inshop,id_00000036,,WOMEN/Cardigans,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Cardigans/id_00000036/02_7_additional.jpg
df_query_0031,docs_vs/deepfashion-subset/images/MEN/Tees_Tanks/id_00000045/01_3_back.jpg,deepfashion_inshop,id_00000045,,MEN/Tees_Tanks,,medium,DeepFashion In-shop item match. Original: img/MEN/Tees_Tanks/id_00000045/01_3_back.jpg
df_query_0032,docs_vs/deepfashion-subset/images/WOMEN/Rompers_Jumpsuits/id_00000050/02_3_back.jpg,deepfashion_inshop,id_00000050,,WOMEN/Rompers_Jumpsuits,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Rompers_Jumpsuits/id_00000050/02_3_back.jpg
df_query_0033,docs_vs/deepfashion-subset/images/WOMEN/Jackets_Coats/id_00000054/01_7_additional.jpg,deepfashion_inshop,id_00000054,,WOMEN/Jackets_Coats,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Jackets_Coats/id_00000054/01_7_additional.jpg
df_query_0034,docs_vs/deepfashion-subset/images/WOMEN/Denim/id_00000055/04_7_additional.jpg,deepfashion_inshop,id_00000055,,WOMEN/Denim,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Denim/id_00000055/04_7_additional.jpg
df_query_0035,docs_vs/deepfashion-subset/images/MEN/Pants/id_00000063/02_7_additional.jpg,deepfashion_inshop,id_00000063,,MEN/Pants,,medium,DeepFashion In-shop item match. Original: img/MEN/Pants/id_00000063/02_7_additional.jpg
df_query_0036,docs_vs/deepfashion-subset/images/MEN/Jackets_Vests/id_00000084/04_4_full.jpg,deepfashion_inshop,id_00000084,,MEN/Jackets_Vests,,medium,DeepFashion In-shop item match. Original: img/MEN/Jackets_Vests/id_00000084/04_4_full.jpg
df_query_0037,docs_vs/deepfashion-subset/images/MEN/Suiting/id_00000270/01_1_front.jpg,deepfashion_inshop,id_00000270,,MEN/Suiting,,medium,DeepFashion In-shop item match. Original: img/MEN/Suiting/id_00000270/01_1_front.jpg
df_query_0038,docs_vs/deepfashion-subset/images/WOMEN/Sweaters/id_00000098/02_2_side.jpg,deepfashion_inshop,id_00000098,,WOMEN/Sweaters,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Sweaters/id_00000098/02_2_side.jpg
df_query_0039,docs_vs/deepfashion-subset/images/WOMEN/Shorts/id_00000103/01_3_back.jpg,deepfashion_inshop,id_00000103,,WOMEN/Shorts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Shorts/id_00000103/01_3_back.jpg
df_query_0040,docs_vs/deepfashion-subset/images/WOMEN/Sweatshirts_Hoodies/id_00000139/02_2_side.jpg,deepfashion_inshop,id_00000139,,WOMEN/Sweatshirts_Hoodies,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Sweatshirts_Hoodies/id_00000139/02_2_side.jpg
df_query_0041,docs_vs/deepfashion-subset/images/MEN/Sweatshirts_Hoodies/id_00000146/02_4_full.jpg,deepfashion_inshop,id_00000146,,MEN/Sweatshirts_Hoodies,,medium,DeepFashion In-shop item match. Original: img/MEN/Sweatshirts_Hoodies/id_00000146/02_4_full.jpg
df_query_0042,docs_vs/deepfashion-subset/images/WOMEN/Leggings/id_00000147/01_7_additional.jpg,deepfashion_inshop,id_00000147,,WOMEN/Leggings,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Leggings/id_00000147/01_7_additional.jpg
df_query_0043,docs_vs/deepfashion-subset/images/MEN/Shirts_Polos/id_00000167/01_7_additional.jpg,deepfashion_inshop,id_00000167,,MEN/Shirts_Polos,,medium,DeepFashion In-shop item match. Original: img/MEN/Shirts_Polos/id_00000167/01_7_additional.jpg
df_query_0044,docs_vs/deepfashion-subset/images/MEN/Denim/id_00000182/01_7_additional.jpg,deepfashion_inshop,id_00000182,,MEN/Denim,,medium,DeepFashion In-shop item match. Original: img/MEN/Denim/id_00000182/01_7_additional.jpg
df_query_0045,docs_vs/deepfashion-subset/images/WOMEN/Skirts/id_00000439/02_2_side.jpg,deepfashion_inshop,id_00000439,,WOMEN/Skirts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Skirts/id_00000439/02_2_side.jpg
df_query_0046,docs_vs/deepfashion-subset/images/MEN/Shorts/id_00000524/01_7_additional.jpg,deepfashion_inshop,id_00000524,,MEN/Shorts,,medium,DeepFashion In-shop item match. Original: img/MEN/Shorts/id_00000524/01_7_additional.jpg
df_query_0047,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000015/02_1_front.jpg,deepfashion_inshop,id_00000015,,WOMEN/Blouses_Shirts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Blouses_Shirts/id_00000015/02_1_front.jpg
df_query_0048,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_6_flat.jpg,deepfashion_inshop,id_00000007,,WOMEN/Tees_Tanks,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Tees_Tanks/id_00000007/01_6_flat.jpg
df_query_0049,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000011/02_3_back.jpg,deepfashion_inshop,id_00000011,,WOMEN/Dresses,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Dresses/id_00000011/02_3_back.jpg
df_query_0050,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_7_additional.jpg,deepfashion_inshop,id_00000016,,MEN/Sweaters,,medium,DeepFashion In-shop item match. Original: img/MEN/Sweaters/id_00000016/01_7_additional.jpg
df_query_0051,docs_vs/deepfashion-subset/images/WOMEN/Graphic_Tees/id_00000046/01_2_side.jpg,deepfashion_inshop,id_00000046,,WOMEN/Graphic_Tees,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Graphic_Tees/id_00000046/01_2_side.jpg
df_query_0052,docs_vs/deepfashion-subset/images/WOMEN/Pants/id_00000029/06_2_side.jpg,deepfashion_inshop,id_00000029,,WOMEN/Pants,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Pants/id_00000029/06_2_side.jpg
df_query_0053,docs_vs/deepfashion-subset/images/WOMEN/Cardigans/id_00000119/02_1_front.jpg,deepfashion_inshop,id_00000119,,WOMEN/Cardigans,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Cardigans/id_00000119/02_1_front.jpg
df_query_0054,docs_vs/deepfashion-subset/images/MEN/Tees_Tanks/id_00000045/01_7_additional.jpg,deepfashion_inshop,id_00000045,,MEN/Tees_Tanks,,medium,DeepFashion In-shop item match. Original: img/MEN/Tees_Tanks/id_00000045/01_7_additional.jpg
df_query_0055,docs_vs/deepfashion-subset/images/WOMEN/Rompers_Jumpsuits/id_00000050/03_1_front.jpg,deepfashion_inshop,id_00000050,,WOMEN/Rompers_Jumpsuits,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Rompers_Jumpsuits/id_00000050/03_1_front.jpg
df_query_0056,docs_vs/deepfashion-subset/images/WOMEN/Jackets_Coats/id_00000058/02_3_back.jpg,deepfashion_inshop,id_00000058,,WOMEN/Jackets_Coats,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Jackets_Coats/id_00000058/02_3_back.jpg
df_query_0057,docs_vs/deepfashion-subset/images/WOMEN/Denim/id_00000360/01_1_front.jpg,deepfashion_inshop,id_00000360,,WOMEN/Denim,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Denim/id_00000360/01_1_front.jpg
df_query_0058,docs_vs/deepfashion-subset/images/MEN/Pants/id_00000256/02_1_front.jpg,deepfashion_inshop,id_00000256,,MEN/Pants,,medium,DeepFashion In-shop item match. Original: img/MEN/Pants/id_00000256/02_1_front.jpg
df_query_0059,docs_vs/deepfashion-subset/images/MEN/Jackets_Vests/id_00000084/04_7_additional.jpg,deepfashion_inshop,id_00000084,,MEN/Jackets_Vests,,medium,DeepFashion In-shop item match. Original: img/MEN/Jackets_Vests/id_00000084/04_7_additional.jpg
df_query_0060,docs_vs/deepfashion-subset/images/MEN/Suiting/id_00000270/01_4_full.jpg,deepfashion_inshop,id_00000270,,MEN/Suiting,,medium,DeepFashion In-shop item match. Original: img/MEN/Suiting/id_00000270/01_4_full.jpg
df_query_0061,docs_vs/deepfashion-subset/images/WOMEN/Sweaters/id_00000098/02_7_additional.jpg,deepfashion_inshop,id_00000098,,WOMEN/Sweaters,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Sweaters/id_00000098/02_7_additional.jpg
df_query_0062,docs_vs/deepfashion-subset/images/WOMEN/Shorts/id_00000103/02_2_side.jpg,deepfashion_inshop,id_00000103,,WOMEN/Shorts,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Shorts/id_00000103/02_2_side.jpg
df_query_0063,docs_vs/deepfashion-subset/images/WOMEN/Sweatshirts_Hoodies/id_00000139/02_6_flat.jpg,deepfashion_inshop,id_00000139,,WOMEN/Sweatshirts_Hoodies,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Sweatshirts_Hoodies/id_00000139/02_6_flat.jpg
df_query_0064,docs_vs/deepfashion-subset/images/MEN/Sweatshirts_Hoodies/id_00000146/02_7_additional.jpg,deepfashion_inshop,id_00000146,,MEN/Sweatshirts_Hoodies,,medium,DeepFashion In-shop item match. Original: img/MEN/Sweatshirts_Hoodies/id_00000146/02_7_additional.jpg
df_query_0065,docs_vs/deepfashion-subset/images/WOMEN/Leggings/id_00000286/01_1_front.jpg,deepfashion_inshop,id_00000286,,WOMEN/Leggings,,medium,DeepFashion In-shop item match. Original: img/WOMEN/Leggings/id_00000286/01_1_front.jpg
df_query_0066,docs_vs/deepfashion-subset/images/MEN/Shirts_Polos/id_00000193/04_1_front.jpg,deepfashion_inshop,id_00000193,,MEN/Shirts_Polos,,medium,DeepFashion In-shop item match. Original: img/MEN/Shirts_Polos/id_00000193/04_1_front.jpg
