queryId,queryImagePath,expectedProductIds,relevantProductIds,returnedProductIds,firstRelevantRank,recallAt1,recallAt5,recallAt10,precisionAt5,precisionAt10,reciprocalRank,ndcgAt10,latencyMs,topScore,error
df_query_0001,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,id_00000001,,id_00000001|id_00000746|id_00000874|id_00000341|id_00000239|id_00000733|id_00000260|id_00000046|id_00000007|id_00000324,1,1,1,1,0.2,0.1,1,1,68,0.9473685111989779,
df_query_0002,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,id_00000007,,id_00000046|id_00000959|id_00000113|id_00000332|id_00000733|id_00000449|id_00000211|id_00000664|id_00000420|id_00000138,0,0,0,0,0,0,0,0,68,0.8664675912989134,
df_query_0003,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000008/02_7_additional.jpg,id_00000008,,id_00000373|id_00000310|id_00000668|id_00000191|id_00000074|id_00000190|id_00000284|id_00000483|id_00000092|id_00000148,0,0,0,0,0,0,0,0,71,0.917269270156345,
df_query_0004,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_2_side.jpg,id_00000016,,id_00000650|id_00000305|id_00000204|id_00000661|id_00000242|id_00002533|id_00000265|id_00000045|id_00000016|id_00002268,9,0,0,1,0,0.1,0.1111111111111111,0.3010299956639812,71,0.9430697596720832,
df_query_0005,docs_vs/deepfashion-subset/images/WOMEN/Graphic_Tees/id_00000019/01_2_side.jpg,id_00000019,,id_00000373|id_00000420|id_00000299|id_00000007|id_00000235|id_00000046|id_00000937|id_00000102|id_00001132|id_00000079,0,0,0,0,0,0,0,0,72,0.9290250454343828,
df_query_0006,docs_vs/deepfashion-subset/images/WOMEN/Pants/id_00000029/04_3_back.jpg,id_00000029,,id_00000029|id_00001367|id_00002095|id_00001017|id_00001865|id_00000055|id_00000338|id_00001099|id_00002945|id_00000052,1,1,1,1,0.2,0.1,1,1,73,0.9653010788049696,
df_query_0007,docs_vs/deepfashion-subset/images/WOMEN/Cardigans/id_00000036/02_3_back.jpg,id_00000036,,id_00000036|id_00000017|id_00000845|id_00000427|id_00000246|id_00000780|id_00000001|id_00000420|id_00000283|id_00000917,1,1,1,1,0.2,0.1,1,1,71,0.9142206901871738,
df_query_0008,docs_vs/deepfashion-subset/images/MEN/Tees_Tanks/id_00000045/01_2_side.jpg,id_00000045,,id_00000045|id_00002268|id_00000242|id_00001375|id_00001730|id_00000313|id_00000305|id_00000193|id_00000265|id_00000049,1,1,1,1,0.2,0.1,1,1,82,0.895585138486756,
df_query_0009,docs_vs/deepfashion-subset/images/WOMEN/Rompers_Jumpsuits/id_00000050/02_2_side.jpg,id_00000050,,id_00000050|id_00000663|id_00000077|id_00000868|id_00000820|id_00000083|id_00000499|id_00000087|id_00000034|id_00000373,1,1,1,1,0.2,0.1,1,1,102,0.9176982045602967,
df_query_0010,docs_vs/deepfashion-subset/images/WOMEN/Jackets_Coats/id_00000054/01_2_side.jpg,id_00000054,,id_00000054|id_00000187|id_00000102|id_00000310|id_00000452|id_00000099|id_00000173|id_00000263|id_00000231|id_00001367,1,1,1,1,0.2,0.1,1,1,70,0.9533704866060881,
