queryId,queryImagePath,expectedProductIds,relevantProductIds,returnedProductIds,firstRelevantRank,recallAt1,recallAt5,recallAt10,precisionAt5,precisionAt10,reciprocalRank,ndcgAt10,latencyMs,topScore,error
df_query_0001,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_2_side.jpg,id_00000001,,id_00000001|id_00000845|id_00000239|id_00000874|id_00000664|id_00000628|id_00000260|id_00000017|id_00000324|id_00000521,1,1,1,1,0.2,0.1,1,1,164,0.8728238045317431,
df_query_0002,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_2_side.jpg,id_00000007,,id_00000007|id_00001070|id_00000959|id_00000299|id_00000211|id_00000345|id_00001150|id_00000019|id_00000241|id_00000420,1,1,1,1,0.2,0.1,1,1,162,0.8323640686212328,
df_query_0003,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000008/02_7_additional.jpg,id_00000008,,id_00000008|id_00000035|id_00000933|id_00000113|id_00000917|id_00000181|id_00000074|id_00000310|id_00000191|id_00000937,1,1,1,1,0.2,0.1,1,1,161,0.7361016049170342,
df_query_0004,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_2_side.jpg,id_00000016,,id_00000016|id_00000562|id_00000321|id_00000650|id_00000898|id_00001462|id_00000192|id_00000632|id_00000313|id_00000396,1,1,1,1,0.2,0.1,1,1,165,0.9229440093994103,
df_query_0005,docs_vs/deepfashion-subset/images/WOMEN/Graphic_Tees/id_00000019/01_2_side.jpg,id_00000019,,id_00000299|id_00000934|id_00000241|id_00000113|id_00001070|id_00000235|id_00000211|id_00000144|id_00000420|id_00000659,0,0,0,0,0,0,0,0,164,0.8429391637499735,
df_query_0006,docs_vs/deepfashion-subset/images/WOMEN/Pants/id_00000029/04_3_back.jpg,id_00000029,,id_00000029|id_00000360|id_00001256|id_00001367|id_00002945|id_00002095|id_00000055|id_00001449|id_00001865|id_00001293,1,1,1,1,0.2,0.1,1,1,168,0.9327743962470972,
df_query_0007,docs_vs/deepfashion-subset/images/WOMEN/Cardigans/id_00000036/02_3_back.jpg,id_00000036,,id_00000036|id_00000760|id_00000139|id_00000017|id_00000246|id_00000125|id_00000415|id_00000780|id_00000628|id_00000656,1,1,1,1,0.2,0.1,1,1,209,0.895245357395244,
df_query_0008,docs_vs/deepfashion-subset/images/MEN/Tees_Tanks/id_00000045/01_2_side.jpg,id_00000045,,id_00000045|id_00000305|id_00000193|id_00000242|id_00000145|id_00000312|id_00000265|id_00000226|id_00000754|id_00000223,1,1,1,1,0.2,0.1,1,1,263,0.8771722761522983,
df_query_0009,docs_vs/deepfashion-subset/images/WOMEN/Rompers_Jumpsuits/id_00000050/02_2_side.jpg,id_00000050,,id_00000050|id_00000077|id_00000191|id_00000034|id_00000868|id_00000292|id_00000074|id_00000011|id_00000668|id_00000663,1,1,1,1,0.2,0.1,1,1,258,0.7621357892984901,
df_query_0010,docs_vs/deepfashion-subset/images/WOMEN/Jackets_Coats/id_00000054/01_2_side.jpg,id_00000054,,id_00000054|id_00000187|id_00000261|id_00000452|id_00000342|id_00000260|id_00000181|id_00000780|id_00000102|id_00000094,1,1,1,1,0.2,0.1,1,1,329,0.8518542418563513,
df_query_0011,docs_vs/deepfashion-subset/images/WOMEN/Denim/id_00000055/04_1_front.jpg,id_00000055,,id_00000029|id_00000187|id_00000181|id_00001367|id_00000098|id_00000659|id_00000144|id_00000360|id_00001099|id_00000263,0,0,0,0,0,0,0,0,255,0.8078866581014019,
df_query_0012,docs_vs/deepfashion-subset/images/MEN/Pants/id_00000063/02_4_full.jpg,id_00000063,,id_00001375|id_00000063|id_00001092|id_00000867|id_00000256|id_00000470|id_00000296|id_00000524|id_00002476|id_00000971,2,0,1,1,0.2,0.1,0.5,0.6309297535714574,177,0.8031713906899702,
df_query_0013,docs_vs/deepfashion-subset/images/MEN/Jackets_Vests/id_00000084/04_2_side.jpg,id_00000084,,id_00000084|id_00000971|id_00006299|id_00001654|id_00002977|id_00001730|id_00001042|id_00004606|id_00000393|id_00002268,1,1,1,1,0.2,0.1,1,1,195,0.8744986427626307,
df_query_0014,docs_vs/deepfashion-subset/images/MEN/Suiting/id_00000094/02_1_front.jpg,id_00000094,,id_00000094|id_00000836|id_00001097|id_00002439|id_00000802|id_00000932|id_00000256|id_00004319|id_00000653|id_00001008,1,1,1,1,0.2,0.1,1,1,182,0.9200467746305181,
df_query_0015,docs_vs/deepfashion-subset/images/WOMEN/Sweaters/id_00000098/02_1_front.jpg,id_00000098,,id_00000098|id_00000709|id_00000892|id_00000845|id_00000779|id_00000874|id_00000804|id_00000664|id_00000628|id_00000656,1,1,1,1,0.2,0.1,1,1,163,0.910281874864619,
df_query_0016,docs_vs/deepfashion-subset/images/WOMEN/Shorts/id_00000103/01_1_front.jpg,id_00000103,,id_00000103|id_00000131|id_00000543|id_00000261|id_00000133|id_00000176|id_00000187|id_00000099|id_00001509|id_00000580,1,1,1,1,0.2,0.1,1,1,169,0.8723617294311738,
df_query_0017,docs_vs/deepfashion-subset/images/WOMEN/Sweatshirts_Hoodies/id_00000139/02_1_front.jpg,id_00000139,,id_00000139|id_00000177|id_00000801|id_00000746|id_00000342|id_00000332|id_00000246|id_00000113|id_00000017|id_00000125,1,1,1,1,0.2,0.1,1,1,164,0.7346182871902794,
df_query_0018,docs_vs/deepfashion-subset/images/MEN/Sweatshirts_Hoodies/id_00000146/02_2_side.jpg,id_00000146,,id_00000146|id_00003225|id_00000911|id_00001042|id_00003060|id_00000393|id_00003064|id_00002977|id_00000305|id_00000296,1,1,1,1,0.2,0.1,1,1,167,0.8965475624688849,
df_query_0019,docs_vs/deepfashion-subset/images/WOMEN/Leggings/id_00000147/01_3_back.jpg,id_00000147,,id_00000147|id_00002971|id_00001830|id_00000444|id_00002368|id_00001398|id_00000338|id_00001564|id_00001099|id_00002852,1,1,1,1,0.2,0.1,1,1,174,0.8499644087873435,
df_query_0020,docs_vs/deepfashion-subset/images/MEN/Shirts_Polos/id_00000167/01_2_side.jpg,id_00000167,,id_00000167|id_00000390|id_00000193|id_00000226|id_00001008|id_00003064|id_00000353|id_00001042|id_00001315|id_00003225,1,1,1,1,0.2,0.1,1,1,169,0.865952122905059,
df_query_0021,docs_vs/deepfashion-subset/images/MEN/Denim/id_00000182/01_1_front.jpg,id_00000182,,id_00000182|id_00000353|id_00000313|id_00000256|id_00001207|id_00001092|id_00000826|id_00001198|id_00000270|id_00000938,1,1,1,1,0.2,0.1,1,1,173,0.8678717181810958,
df_query_0022,docs_vs/deepfashion-subset/images/WOMEN/Skirts/id_00000439/02_1_front.jpg,id_00000439,,id_00000439|id_00000440|id_00000611|id_00000734|id_00000342|id_00000540|id_00000261|id_00000017|id_00000664|id_00000631,1,1,1,1,0.2,0.1,1,1,171,0.894813342874894,
df_query_0023,docs_vs/deepfashion-subset/images/MEN/Shorts/id_00000524/01_3_back.jpg,id_00000524,,id_00000524|id_00000638|id_00000655|id_00000816|id_00000991|id_00000855|id_00000597|id_00000582|id_00001375|id_00001221,1,1,1,1,0.2,0.1,1,1,164,0.9510766708213464,
df_query_0024,docs_vs/deepfashion-subset/images/WOMEN/Blouses_Shirts/id_00000001/02_4_full.jpg,id_00000001,,id_00000001|id_00000521|id_00000040|id_00000628|id_00000543|id_00000344|id_00000131|id_00000176|id_00000079|id_00000144,1,1,1,1,0.2,0.1,1,1,166,0.8600318545857494,
df_query_0025,docs_vs/deepfashion-subset/images/WOMEN/Tees_Tanks/id_00000007/01_4_full.jpg,id_00000007,,id_00000007|id_00001150|id_00000420|id_00000102|id_00000591|id_00000917|id_00001070|id_00000959|id_00000360|id_00000659,1,1,1,1,0.2,0.1,1,1,164,0.7051340178527882,
df_query_0026,docs_vs/deepfashion-subset/images/WOMEN/Dresses/id_00000011/02_2_side.jpg,id_00000011,,id_00000011|id_00000169|id_00000034|id_00000191|id_00000868|id_00000077|id_00001150|id_00000284|id_00000420|id_00000148,1,1,1,1,0.2,0.1,1,1,168,0.8990089608606142,
df_query_0027,docs_vs/deepfashion-subset/images/MEN/Sweaters/id_00000016/01_6_flat.jpg,id_00000016,,id_00000898|id_00000016|id_00000562|id_00000650|id_00000321|id_00000711|id_00001462|id_00000192|id_00000396|id_00000632,2,0,1,1,0.2,0.1,0.5,0.6309297535714574,171,0.8641284679681116,
df_query_0028,docs_vs/deepfashion-subset/images/WOMEN/Graphic_Tees/id_00000019/01_7_additional.jpg,id_00000019,,id_00000934|id_00000211|id_00000119|id_00000079|id_00000241|id_00000040|id_00000144|id_00000299|id_00000959|id_00000521,0,0,0,0,0,0,0,0,172,0.7689063160649449,
df_query_0029,docs_vs/deepfashion-subset/images/WOMEN/Pants/id_00000029/06_1_front.jpg,id_00000029,,id_00000029|id_00000217|id_00000804|id_00000360|id_00000821|id_00000263|id_00000187|id_00000036|id_00001293|id_00001249,1,1,1,1,0.2,0.1,1,1,166,0.814723903225235,
df_query_0030,docs_vs/deepfashion-subset/images/WOMEN/Cardigans/id_00000036/02_7_additional.jpg,id_00000036,,id_00000036|id_00000261|id_00000439|id_00000173|id_00000139|id_00000029|id_00000440|id_00000187|id_00000342|id_00000099,1,1,1,1,0.2,0.1,1,1,167,0.8068138228001637,
df_query_0031,docs_vs/deepfashion-subset/images/MEN/Tees_Tanks/id_00000045/01_3_back.jpg,id_00000045,,id_00000045|id_00000193|id_00000223|id_00000312|id_00000226|id_00000305|id_00000242|id_00000146|id_00000145|id_00000296,1,1,1,1,0.2,0.1,1,1,171,0.8805883292050216,
df_query_0032,docs_vs/deepfashion-subset/images/WOMEN/Rompers_Jumpsuits/id_00000050/02_3_back.jpg,id_00000050,,id_00000050|id_00000077|id_00000820|id_00000868|id_00000883|id_00000499|id_00000308|id_00000215|id_00000734|id_00000105,1,1,1,1,0.2,0.1,1,1,167,0.8656563930158283,
df_query_0033,docs_vs/deepfashion-subset/images/WOMEN/Jackets_Coats/id_00000054/01_7_additional.jpg,id_00000054,,id_00000054|id_00000187|id_00000261|id_00000452|id_00000664|id_00001367|id_00000360|id_00000260|id_00000133|id_00000215,1,1,1,1,0.2,0.1,1,1,171,0.7965728382679181,
df_query_0034,docs_vs/deepfashion-subset/images/WOMEN/Denim/id_00000055/04_7_additional.jpg,id_00000055,,id_00000055|id_00001099|id_00000360|id_00001256|id_00000029|id_00001367|id_00000338|id_00002463|id_00002945|id_00002359,1,1,1,1,0.2,0.1,1,1,171,0.8862267816187245,
df_query_0035,docs_vs/deepfashion-subset/images/MEN/Pants/id_00000063/02_7_additional.jpg,id_00000063,,id_00001092|id_00000063|id_00000470|id_00001375|id_00000524|id_00000816|id_00001468|id_00000256|id_00000855|id_00000638,2,0,1,1,0.2,0.1,0.5,0.6309297535714574,168,0.8561831423906627,
df_query_0036,docs_vs/deepfashion-subset/images/MEN/Jackets_Vests/id_00000084/04_4_full.jpg,id_00000084,,id_00000167|id_00000084|id_00000353|id_00000470|id_00001281|id_00000193|id_00004606|id_00004319|id_00000393|id_00006299,2,0,1,1,0.2,0.1,0.5,0.6309297535714574,162,0.8355818500919817,
df_query_0037,docs_vs/deepfashion-subset/images/MEN/Suiting/id_00000270/01_1_front.jpg,id_00000270,,id_00000270|id_00000256|id_00000836|id_00001198|id_00000938|id_00001207|id_00001092|id_00000826|id_00001468|id_00000802,1,1,1,1,0.2,0.1,1,1,178,0.8912992972307456,
df_query_0038,docs_vs/deepfashion-subset/images/WOMEN/Sweaters/id_00000098/02_2_side.jpg,id_00000098,,id_00000098|id_00000779|id_00000709|id_00000664|id_00000892|id_00000286|id_00000181|id_00000845|id_00000029|id_00001293,1,1,1,1,0.2,0.1,1,1,166,0.9101222489967478,
df_query_0039,docs_vs/deepfashion-subset/images/WOMEN/Shorts/id_00000103/01_3_back.jpg,id_00000103,,id_00000103|id_00000176|id_00000576|id_00000144|id_00000543|id_00000456|id_00000489|id_00000131|id_00000128|id_00000286,1,1,1,1,0.2,0.1,1,1,165,0.9014361552737618,
df_query_0040,docs_vs/deepfashion-subset/images/WOMEN/Sweatshirts_Hoodies/id_00000139/02_2_side.jpg,id_00000139,,id_00000139|id_00000017|id_00000299|id_00000743|id_00000148|id_00000177|id_00000611|id_00000342|id_00000079|id_00000540,1,1,1,1,0.2,0.1,1,1,171,0.8880579830705507,
df_query_0041,docs_vs/deepfashion-subset/images/MEN/Sweatshirts_Hoodies/id_00000146/02_4_full.jpg,id_00000146,,id_00000146|id_00000393|id_00001281|id_00003064|id_00000470|id_00000084|id_00001092|id_00001042|id_00000353|id_00003225,1,1,1,1,0.2,0.1,1,1,169,0.7660753364725739,
df_query_0042,docs_vs/deepfashion-subset/images/WOMEN/Leggings/id_00000147/01_7_additional.jpg,id_00000147,,id_00000147|id_00001830|id_00000444|id_00000892|id_00002971|id_00002132|id_00001099|id_00001564|id_00000874|id_00002368,1,1,1,1,0.2,0.1,1,1,165,0.8640730608693854,
