queryId,queryImagePath,expectedProductIds,relevantProductIds,returnedProductIds,firstRelevantRank,recallAt1,recallAt5,recallAt10,precisionAt5,precisionAt10,reciprocalRank,ndcgAt10,latencyMs,topScore,error
query_review_001,docs_vs/query-images/query_review_001_ao-giu-nhiet-nu-co-3cm-dang-om.webp,fe13c39f2822ad039266b3d5,30bdd588b0aa1f48f6e5cc7d|6b72b7d33f9b8307c4a958eb,fe13c39f2822ad039266b3d5|6b72b7d33f9b8307c4a958eb|30bdd588b0aa1f48f6e5cc7d|332652d8058ed6d111432680|32736048dd640fb65fb85672|e1416f27eac0557c580933b5|70e60ecff89e27906a220007|be06feea04eac8eb6fb1fdb4|e9f86f8c63e8bc17b63394e8|5592c2bf129a66e947360c6e,1,1,1,1,0.6,0.3,1,1,2887,1,
query_review_002,docs_vs/query-images/query_review_002_ao-hai-day-nu-co-tron-len-mem-mai.webp,e1416f27eac0557c580933b5,c0dae92879d2cd8592aae2c2,e1416f27eac0557c580933b5|c0dae92879d2cd8592aae2c2|6b72b7d33f9b8307c4a958eb|fe13c39f2822ad039266b3d5|32736048dd640fb65fb85672|b33b4457d177bfc9f2617daf|332652d8058ed6d111432680|30bdd588b0aa1f48f6e5cc7d|e38db686365335c332f36264|a0818c0c6efcf7d9e7cfb892,1,1,1,1,0.4,0.2,1,1,1127,1,
query_review_003,docs_vs/query-images/query_review_003_ao-len-nam-bo-gia-dinh-co-tron.webp,e9f86f8c63e8bc17b63394e8,5592c2bf129a66e947360c6e,e9f86f8c63e8bc17b63394e8|5592c2bf129a66e947360c6e|39d480990e008c1644c53637|84d44f8e5a90390663e497b3|83b1de630d040d81aadb8f2f|6b72b7d33f9b8307c4a958eb|c543e525a21574f6bd95e8c1|4e9d5511560c5355df2208f6|60b9b51ccbeb6fd062435f31|64771f5fa22fd93b81d5127c,1,1,1,1,0.4,0.2,1,1,995,1,
query_review_004,docs_vs/query-images/query_review_004_ao-len-nam-det-ke.webp,5592c2bf129a66e947360c6e,8bc2541158e2e3bfa15fb279|39d480990e008c1644c53637,5592c2bf129a66e947360c6e|39d480990e008c1644c53637|32736048dd640fb65fb85672|e9f86f8c63e8bc17b63394e8|8bc2541158e2e3bfa15fb279|60b9b51ccbeb6fd062435f31|4e9d5511560c5355df2208f6|6b72b7d33f9b8307c4a958eb|fe13c39f2822ad039266b3d5|c1e1bec70a763a23626f8ef4,1,1,1,1,0.6,0.3,1,0.9726097514324383,868,1,
query_review_005,docs_vs/query-images/query_review_005_ao-len-nu-form-rong-hoa-tiet-soc-ngang.webp,32736048dd640fb65fb85672,5592c2bf129a66e947360c6e|8bc2541158e2e3bfa15fb279|39d480990e008c1644c53637,32736048dd640fb65fb85672|6b72b7d33f9b8307c4a958eb|5592c2bf129a66e947360c6e|fe13c39f2822ad039266b3d5|8bc2541158e2e3bfa15fb279|30bdd588b0aa1f48f6e5cc7d|c0dae92879d2cd8592aae2c2|b33b4457d177bfc9f2617daf|39d480990e008c1644c53637|e1416f27eac0557c580933b5,1,1,1,1,0.6,0.4,1,0.9180719502706124,732,1,
query_review_006,docs_vs/query-images/query_review_006_ao-phong-nu-cotton-usa-in-girl.webp,cc2777b8a0ea1455841f3d51,1484171a0ca7ff7ff92f8916,cc2777b8a0ea1455841f3d51|1484171a0ca7ff7ff92f8916|be06feea04eac8eb6fb1fdb4|30bdd588b0aa1f48f6e5cc7d|7c0f8a10a147d1c0ba9ac745|fe13c39f2822ad039266b3d5|4030355657bc5e6c06d07e80|32736048dd640fb65fb85672|332652d8058ed6d111432680|6b72b7d33f9b8307c4a958eb,1,1,1,1,0.4,0.2,1,1,977,1,
query_review_007,docs_vs/query-images/query_review_007_ao-polo-nam-airycool-dang-om-sieu-mat.webp,84d44f8e5a90390663e497b3,5e78226ed0a83b275a6f2758|002b74340f878eb87e4ae306|83b1de630d040d81aadb8f2f|64771f5fa22fd93b81d5127c,84d44f8e5a90390663e497b3|83b1de630d040d81aadb8f2f|e4e8cf54a3b605a2f612804e|d6e9cd67019e329554bab6da|c543e525a21574f6bd95e8c1|332652d8058ed6d111432680|8047a82a85d7078038eed86d|64771f5fa22fd93b81d5127c|e9f86f8c63e8bc17b63394e8|017f7fcf7f0395d4f261c3fe,1,1,1,1,0.4,0.3,1,0.797499693450205,943,1,
query_review_008,docs_vs/query-images/query_review_008_ao-polo-nu-airycool-dang-om-sieu-mat.webp,332652d8058ed6d111432680,017f7fcf7f0395d4f261c3fe|a0818c0c6efcf7d9e7cfb892|131567a730d3000059f1ad40,332652d8058ed6d111432680|017f7fcf7f0395d4f261c3fe|a0818c0c6efcf7d9e7cfb892|131567a730d3000059f1ad40|84d44f8e5a90390663e497b3|4030355657bc5e6c06d07e80|be06feea04eac8eb6fb1fdb4|83b1de630d040d81aadb8f2f|c543e525a21574f6bd95e8c1|d6e9cd67019e329554bab6da,1,1,1,1,0.8,0.4,1,1,868,1,
query_review_009,docs_vs/query-images/query_review_009_ao-so-mi-nam-phoi-tui.webp,9905aed6b4eecaaee1820d55,0400035ff551fd22c8553ce2,9905aed6b4eecaaee1820d55|0400035ff551fd22c8553ce2|70e60ecff89e27906a220007|e9f86f8c63e8bc17b63394e8|5592c2bf129a66e947360c6e|8047a82a85d7078038eed86d|84d44f8e5a90390663e497b3|625c119dad5281c2d5eb5dc6|39d480990e008c1644c53637|83b1de630d040d81aadb8f2f,1,1,1,1,0.4,0.2,1,1,691,1,
query_review_010,docs_vs/query-images/query_review_010_ao-so-mi-nu-kieu-croptop-co-2-ve-chiet-eo.webp,76fe4f7aa5634a3ae8c50aa5,30c0c8dfa0be994a66075d74,76fe4f7aa5634a3ae8c50aa5|b33b4457d177bfc9f2617daf|c0dae92879d2cd8592aae2c2|e1416f27eac0557c580933b5|7c0f8a10a147d1c0ba9ac745|70e60ecff89e27906a220007|2f5fa044af449c0a22678290|4030355657bc5e6c06d07e80|e38db686365335c332f36264|30c0c8dfa0be994a66075d74,1,1,1,1,0.2,0.2,1,0.9058464496821221,808,1,
